individual	week	kit	KO	Abundance	module_id	group
102	13	mobio	K13247	0	M00014	DNR
61	8	qiagen	K13247	0	M00014	DNR
75	5	mobio	K13247	0	M00014	WT
83	4	qiagen	K13247	0	M00014	DNR
84	13	mobio	K13247	0	M00014	WT
92	5	mobio	K13247	0	M00014	DNR
96	10	qiagen	K13247	0	M00014	WT
102	6	qiagen	K16190	0	M00014	DNR
102	12	qiagen	K16190	0	M00014	DNR
102	13	mobio	K16190	0	M00014	DNR
61	4	qiagen	K16190	0	M00014	DNR
61	8	qiagen	K16190	0	M00014	DNR
61	10	qiagen	K16190	0	M00014	DNR
73	4	qiagen	K16190	0	M00014	DNR
73	5	mobio	K16190	0	M00014	DNR
73	6	qiagen	K16190	0	M00014	DNR
73	8	qiagen	K16190	0	M00014	DNR
73	10	qiagen	K16190	0	M00014	DNR
73	12	qiagen	K16190	0	M00014	DNR
75	4	qiagen	K16190	0	M00014	WT
75	6	qiagen	K16190	0	M00014	WT
75	8	qiagen	K16190	0	M00014	WT
75	12	qiagen	K16190	0	M00014	WT
83	6	qiagen	K16190	0	M00014	DNR
83	8	qiagen	K16190	0	M00014	DNR
83	10	qiagen	K16190	0	M00014	DNR
83	12	qiagen	K16190	0	M00014	DNR
83	13	mobio	K16190	0	M00014	DNR
84	5	mobio	K16190	0	M00014	WT
84	12	qiagen	K16190	0	M00014	WT
90	4	qiagen	K16190	0	M00014	WT
90	6	qiagen	K16190	0	M00014	WT
90	8	qiagen	K16190	0	M00014	WT
90	10	qiagen	K16190	0	M00014	WT
90	13	mobio	K16190	0	M00014	WT
92	6	qiagen	K16190	0	M00014	DNR
92	13	mobio	K16190	0	M00014	DNR
96	4	qiagen	K16190	0	M00014	WT
96	5	mobio	K16190	0	M00014	WT
96	8	qiagen	K16190	0	M00014	WT
96	10	qiagen	K16190	0	M00014	WT
96	12	qiagen	K16190	0	M00014	WT
